City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,new norfolk,-42.7826,147.0587,53.92,79,100,7.45,AU,1716056595
133,qaqortoq,60.7167,-46.0333,35.91,77,12,8.93,GL,1716057195
134,newman,37.3138,-121.0208,75.43,56,2,4.0,US,1716056801
135,hotan,37.0997,79.9269,77.97,13,8,9.28,CN,1716057197
136,talnakh,69.4865,88.3972,16.21,90,100,1.41,RU,1716056661
137,utrik,11.2278,169.8474,80.92,81,97,23.96,MH,1716056761
138,anadyr,64.75,177.4833,28.9,100,75,8.95,RU,1716056628
139,pacific grove,36.6177,-121.9166,59.67,83,100,10.0,US,1716057198
140,nemuro,43.3236,145.575,49.89,79,16,18.52,JP,1716056395
141,alanya,36.5438,31.9998,69.93,71,13,4.38,TR,1716057199
142,bandar abbas,27.1865,56.2808,89.58,58,0,11.5,IR,1716057200
143,revda,56.801,59.9303,35.69,93,27,7.29,RU,1716057200
144,gisborne,-38.6533,178.0042,52.92,84,100,6.89,NZ,1716057201
145,sao gabriel da cachoeira,-0.1303,-67.0892,85.8,74,20,5.75,BR,1716056794
146,tolanaro,-25.0319,46.9987,73.47,94,20,4.61,MG,1716056795
147,zaragoza,41.6561,-0.8773,75.11,35,75,11.5,ES,1716056547
148,yanam,16.7333,82.2167,81.07,89,89,2.48,IN,1716057203
149,sabang,5.8933,95.3214,85.5,76,64,14.58,ID,1716056845
150,akhty,41.4597,47.7312,34.36,88,31,6.51,RU,1716057204
151,pandan,14.0453,124.1694,80.13,84,84,5.77,PH,1716057204
152,bengkulu,-3.8004,102.2655,77.11,93,98,3.98,ID,1716056506
153,mount isa,-20.7333,139.5,62.37,42,0,14.97,AU,1716057206
154,iranshahr,27.2025,60.6848,91.74,27,20,6.91,IR,1716057207
155,ushuaia,-54.8,-68.3,46.06,49,0,6.91,AR,1716057207
156,kodiak,57.79,-152.4072,38.71,93,100,20.71,US,1716056664
157,sitka,57.0531,-135.33,48.09,66,100,8.05,US,1716056696
158,udachny,66.4167,112.4,18.45,88,84,2.59,RU,1716056631
159,kupang,-10.1667,123.5833,82.98,89,75,12.66,ID,1716056793
160,barra de santo antonio,-9.4047,-35.5072,81.68,83,13,9.4,BR,1716057210
161,chonchi,-42.6128,-73.8092,52.12,71,14,4.07,CL,1716056742
162,san patricio,28.017,-97.5169,91.17,54,9,5.39,US,1716056661
163,northam,51.0333,-4.2167,62.62,83,95,5.35,GB,1716056750
164,port elizabeth,-33.918,25.5701,65.1,92,0,9.22,ZA,1716056641
165,roswell,34.0232,-84.3616,78.62,82,20,6.91,US,1716056600
166,tsiombe,-25.3,45.4833,69.44,89,0,5.23,MG,1716057213
167,saint croix,17.7397,-64.7388,85.96,77,73,5.99,VI,1716057215
168,hithadhoo,-0.6,73.0833,83.55,74,99,30.15,MV,1716056399
169,pergamino,-33.89,-60.5736,56.17,48,100,5.19,AR,1716057216
170,belomorsk,64.5232,34.7668,64.62,49,85,12.44,RU,1716057216
171,cadale,2.7603,46.3222,83.39,80,97,18.23,SO,1716057217
172,mosfellsbaer,64.1667,-21.7,47.71,46,75,12.66,IS,1716057217
173,washington,47.5001,-120.5015,61.18,35,100,5.26,US,1716057067
174,badger,64.8,-147.5333,59.99,51,96,2.82,US,1716056347
175,moa,20.6569,-74.9403,89.4,57,0,10.85,CU,1716057219
176,hawaiian paradise park,19.5933,-154.9731,79.88,87,100,6.91,US,1716056734
177,kolonia town,6.964,158.206,82.17,81,96,13.2,FM,1716057220
178,maintirano,-18.0667,44.0167,79.92,73,86,13.56,MG,1716057220
179,san luis,-33.295,-66.3356,56.1,39,56,6.38,AR,1716056933
180,lebu,-37.6167,-73.65,53.47,66,0,6.96,CL,1716057221
181,okha,53.5739,142.9478,38.25,90,100,8.99,RU,1716057222
182,portland,45.5234,-122.6762,59.56,58,100,5.75,US,1716057018
183,andergrove,-21.0833,149.1833,57.65,61,0,13.51,AU,1716057223
